City Name,Temperature (Above/Below)
Johannesburg,Above
Kuala Lumpur,Below
Brussels,Above
Brasilia,Above
Perth,Above
Nuuk,Below
Tehran,Above
Bridgetown,Below
Bridgetown,Below
Austin,Above
Prague,Below
Johannesburg,Above
Kuala Lumpur,Below
Brussels,Above
Brasilia,Above
Perth,Above
Nuuk,Below
Tehran,Above
Austin,Above
Bridgetown,Below
Austin,Above
Prague,Below
Johannesburg,Above
Kuala Lumpur,Below
Brussels,Above
Brasilia,Above
Perth,Above
Nuuk,Below
Tehran,Above
Prague,Below
Bridgetown,Below
Austin,Above
Prague,Below
Johannesburg,Above
Kuala Lumpur,Below
Brussels,Above
Brasilia,Above
Perth,Above
Nuuk,Below
Tehran,Above
